S,Schedule ID,Trip Number,Route Number,Direction,Start Terminal / Start Point,End Terminal / End Point,Start Time,Travel Time,Trip Distance,Crew ID,Event Type,Operator,AC / Non-AC,BRT / Non-BRT,Service Type,Fuel Type,Bus Type,Depot ID
0,US1,0,11,Start Shuttle,VIP ROAD DEPOT,UDHNA DARWAZA,329,31,10.392,1,Non-revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
1,US1,1,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,360,25,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
2,US1,2,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,400,26,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
3,US1,3,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,459,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
4,US1,4,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,489,29,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
5,US1,5,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,533,29,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
6,US1,6,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,566,28,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
7,US1,7,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,598,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
8,US1,8,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,631,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
9,US1,9,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,663,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
10,US1,10,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,704,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
11,US1,11,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,741,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
12,US1,12,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,806,28,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
13,US1,13,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,848,28,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
14,US1,14,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,920,29,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
15,US1,15,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,959,29,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
16,US1,16,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1022,29,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
17,US1,17,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1063,29,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
18,US1,18,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1097,28,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
19,US1,19,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1133,28,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
20,US1,20,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1162,27,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
21,US1,21,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1200,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
22,US1,22,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1260,27,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
23,US1,23,11,End Shuttle,UDHNA DARWAZA,VIP ROAD DEPOT,1287,40,13.519,2,Non-revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
24,US10,0,11,Start Shuttle,VIP ROAD DEPOT,UDHNA DARWAZA,389,31,10.392,1,Non-revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
25,US10,1,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,420,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
26,US10,2,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,451,28,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
27,US10,3,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,508,29,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
28,US10,4,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,541,28,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
29,US10,5,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,573,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
30,US10,6,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,606,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
31,US10,7,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,638,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
32,US10,8,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,674,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
33,US10,9,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,703,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
34,US10,10,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,764,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
35,US10,11,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,805,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
36,US10,12,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,878,28,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
37,US10,13,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,919,29,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
38,US10,14,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,984,29,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
39,US10,15,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1023,29,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
40,US10,16,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1070,29,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
41,US10,17,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1108,28,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
42,US10,18,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1137,28,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
43,US10,19,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1174,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
44,US10,20,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1202,27,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
45,US10,21,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1241,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
46,US10,22,11,End Shuttle,SACHIN G.I.D.C.,VIP ROAD DEPOT,1268,40,13.519,2,Non-revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
47,US11,0,11,Start Shuttle,VIP ROAD DEPOT,UDHNA DARWAZA,414,31,10.392,1,Non-revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
48,US11,1,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,445,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
49,US11,2,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,475,29,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
50,US11,3,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,523,29,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
51,US11,4,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,556,28,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
52,US11,5,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,588,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
53,US11,6,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,621,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
54,US11,7,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,653,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
55,US11,8,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,692,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
56,US11,9,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,724,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
57,US11,10,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,788,28,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
58,US11,11,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,830,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
59,US11,12,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,904,29,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
60,US11,13,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,943,29,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
61,US11,14,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1008,29,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
62,US11,15,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1047,29,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
63,US11,16,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1087,28,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
64,US11,17,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1123,28,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
65,US11,18,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1152,27,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
66,US11,19,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1189,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
67,US11,20,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1218,27,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
68,US11,21,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1255,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
69,US11,22,11,End Shuttle,SACHIN G.I.D.C.,VIP ROAD DEPOT,1282,40,13.519,2,Non-revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
70,US12,0,11,Start Shuttle,VIP ROAD DEPOT,UDHNA DARWAZA,442,31,10.392,1,Non-revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
71,US12,1,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,473,29,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
72,US12,2,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,504,29,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
73,US12,3,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,543,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
74,US12,4,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,576,28,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
75,US12,5,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,608,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
76,US12,6,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,641,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
77,US12,7,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,673,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
78,US12,8,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,716,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
79,US12,9,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,757,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
80,US12,10,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,824,28,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
81,US12,11,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,866,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
82,US12,12,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,936,29,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
83,US12,13,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,975,29,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
84,US12,14,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1034,29,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
85,US12,15,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1077,29,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
86,US12,16,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1107,28,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
87,US12,17,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1144,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
88,US12,18,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1172,27,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
89,US12,19,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1206,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
90,US12,20,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1242,27,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
91,US12,21,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1280,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
92,US12,22,11,End Shuttle,SACHIN G.I.D.C.,VIP ROAD DEPOT,1307,40,13.519,2,Non-revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
93,US12A,0,11,Start Shuttle,VIP ROAD DEPOT,UDHNA DARWAZA,442,31,10.392,1,Non-revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
94,US12A,1,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,473,29,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
95,US12A,2,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,504,29,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
96,US12A,3,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,543,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
97,US12A,4,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,576,28,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
98,US12A,5,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,608,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
99,US12A,6,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,641,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
100,US12A,7,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,673,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
101,US12A,8,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,716,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
102,US12A,9,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,757,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
103,US12A,10,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,824,28,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
104,US12A,11,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,866,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
105,US12A,12,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,936,29,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
106,US12A,13,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,975,29,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
107,US12A,14,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1034,29,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
108,US12A,15,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1077,29,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
109,US12A,16,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1107,28,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
110,US12A,17,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1144,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
111,US12A,18,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1172,27,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
112,US12A,19,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1206,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
113,US12A,20,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1242,27,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
114,US12A,21,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1280,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
115,US12A,22,11,End Shuttle,SACHIN G.I.D.C.,VIP ROAD DEPOT,1307,40,13.519,2,Non-revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
116,US13,0,11,Start Shuttle,VIP ROAD DEPOT,UDHNA DARWAZA,449,31,10.392,1,Non-revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
117,US13,1,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,480,30,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
118,US13,2,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,511,29,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
119,US13,3,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,548,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
120,US13,4,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,581,28,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
121,US13,5,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,613,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
122,US13,6,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,646,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
123,US13,7,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,678,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
124,US13,8,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,724,27,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
125,US13,9,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,765,27,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
126,US13,10,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,833,28,9.8,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
127,US13,11,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,875,28,10.3,1,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
128,US13,12,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,944,29,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
129,US13,13,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,983,29,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
130,US13,14,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1040,29,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
131,US13,15,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1083,28,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
132,US13,16,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1112,28,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
133,US13,17,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1149,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
134,US13,18,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1177,27,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
135,US13,19,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1220,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
136,US13,20,11,11DN,SACHIN G.I.D.C.,UDHNA DARWAZA,1250,27,9.8,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
137,US13,21,11,11UP,UDHNA DARWAZA,SACHIN G.I.D.C.,1290,27,10.3,2,revenue trip,Hansa City Bus,Non - AC,CBS,Day service,DIESEL,9,VIP ROAD DEPOT
